,ACTIVITY DESC,lon,lat
8035,SATELLITE TELECOMMUNICATIONS,-117.23073,32.722824
8036,MOTOR VEHICLE/MOTOR VEHICLE PT & SUPPLY WHSLE,-117.15632,32.81551
8037,CATERERS,-117.11078,32.760937
8038,PERSONAL FITNESS TRAINER,-117.201485,32.954082
8039,"SECURITY, COMMODITY CONTRACTS & LIKE ACTIVITY",-117.1637,32.718834
8040,"WHOLESALE TRADE, NONDURABLE GOODS",-117.15699,32.88913
8041,REPAIR & MAINTENANCE,-117.0534,32.54829
8042,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.13937,32.74844
8043,MOBILE FOOD SERVICES,-117.129585,32.729008
8044,MANAGEMENT CONSULTING SERVICES,-117.140526,32.93211
8045,ADVERTISING & RELATED SERVICES,-117.09785,33.021763
8046,COMMUNICATION EQUIPMENT R&M,-117.10032,32.785015
8047,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.570984,34.100994
8048,BROADCASTING & TELECOMMUNICATIONS,-117.136604,32.829956
8049,ELEC EQUIP/WIRING SUPP/CONST MATERIAL WHSLE,-117.153404,32.834652
8050,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.11842,32.898273
8051,PHARMACIES & DRUG STORES,-117.15904,32.74836
8052,REAL ESTATE PROPERTY MANAGERS,-117.13734,32.695915
8053,BUSINESS TAX EXEMPT,-117.0297,32.708656
8054,BUSINESS TAX EXEMPT - NON PROFIT,-117.15314,32.81194
8055,BUSINESS TAX EXEMPT - NON PROFIT,-117.126884,32.71167
8056,BUSINESS TAX EXEMPT,-117.100876,32.75064
8057,BUSINESS TAX EXEMPT - NON PROFIT,-117.07694,32.761463
8058,INVESTIGATION SERVICES,-117.1676,32.816418
8059,OTHER HEALTH & PERSONAL CARE STORES,-117.027664,33.23112
8060,POOL CLEANING & MAINTENANCE,-117.13874,32.933815
8061,CIVIC & SOCIAL ORGANIZATIONS,-117.201584,32.769924
8062,ALL OTHER PERSONAL SERVICES,-117.19791,32.77275
8063,EDUCATIONAL SUPPORT SERVICES,-117.24647,32.746044
8064,NONSTORE RETAILERS,-117.07364,32.718105
8065,VETERINARY SERVICES,-117.0769,33.01484
8066,OTHER PERSONAL SERVICES,-117.07767,33.013683
8067,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.08895,32.76117
8068,BUSINESS SUPPORT SERVICES,-117.04849,32.773067
8069,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.17908,32.886547
8070,MARKETING CONSULTING SERVICES,-117.12483,32.800858
8071,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.19613,32.897007
8072,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.21444,32.901424
8073,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.200775,32.90406
8074,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.198685,32.894226
8075,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.19839,32.903713
8076,FOOD SERVICE CONTRACTORS,-117.20641,32.729263
8077,OTHER PERSONAL SERVICES,-117.05273,32.765556
8078,LIMITED-SERVICE EATING PLACES,-117.09397,33.020264
8079,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.19473,32.792683
8080,TRAVEL ARRANGEMENT & RESERVATION SERVICES,-117.13902,32.82024
8081,BUSINESS TAX EXEMPT - NON PROFIT,-116.806564,32.839695
8082,OTHER INDIVIDUAL & FAMILY SERVICES,-117.05457,32.58178
8083,PET CARE (EXCEPT VETERINARY) SERVICES,-117.1217,32.895054
8084,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.23468,32.72912
8085,ENGINEERING SERVICES,-117.07182,32.930027
8086,ELECTRICAL CONTRACTORS,-117.23104,33.13592
8087,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.02061,32.83239
8088,CARWASHES,-117.116974,32.708054
8089,AUTOMOTIVE BODY/PAINT/INTERIOR & GLASS REPAIR,-117.1122,32.725178
8090,JANITORIAL SERVICES,-117.15739,32.82175
8091,OFFICES OF DENTISTS,-117.16501,32.74712
8092,SERVICES TO BUILDINGS & DWELLINGS,-117.06096,33.12378
8093,MISCELLANEOUS STORE RETAILERS,-117.10025,33.013557
8094,RESIDENTIAL BUILDING CONSTRUCTION,-116.87007,33.037422
8095,ALL OTHER SPECIAL TRADE CONTRACTORS,-122.28071,37.557106
8096,NONRESIDENTIAL PROPERTY MANAGERS,-117.136284,32.829994
8097,MANAGEMENT CONSULTING SERVICES,-117.2018,32.785927
8098,OTHER DIRECT SELLING ESTABLISHMENTS,-116.9907,32.767677
8099,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.1692,32.723236
8100,ENGINEERING SERVICES,-117.22345,32.832767
8101,OTHER PERSONAL & HOUSEHOLD GOODS R&M,-117.23046,32.73044
8102,CONSULTING SERVICES,-117.194046,32.893238
8103,INDIVIDUAL & FAMILY SERVICES,-117.15711,32.82291
8104,OFFICES OF CHIROPRACTORS,-117.12619,32.822323
8105,INDIVIDUAL & FAMILY SERVICES,-117.120995,32.74225
8106,MARKETING CONSULTING SERVICES,-117.150536,32.90367
8107,ALL OTHER GENERAL MERCHANDISE STORES,-117.1383,32.836315
8108,"MACHINERY, EQUIPMENT & SUPPLIES WHSLE",-117.120804,33.025234
8109,OTHER MISCELLANEOUS STORE RETAILERS,-117.1202,32.89937
8110,ENGINEERING SERVICES,-117.21574,32.879753
8111,MANAGEMENT CONSULTING SERVICES,-117.21165,32.85503
8112,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.13053,32.917736
8113,OTHER COMPUTER RELATED SERVICES,-117.07058,32.763386
8114,CIVIC & SOCIAL ORGANIZATIONS,-117.115974,32.702038
8115,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.23418,32.799355
8116,ALL OTHER MISCELLANEOUS MFG,-117.14593,32.91955
8117,COMPUTER & OFFICE MACHINE R&M,-117.15739,32.82175
8118,ELECTRONICS & APPLIANCE STORES,-117.20563,32.75023
8119,ELECTRONIC & PRECISION EQUIPMENT R&M,-117.20422,32.751858
8120,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.188156,32.896057
8121,ELECTRICAL GOODS WHSLE,-117.083244,33.021107
8122,RETAIL SALES VIA INTERNET/WEBSITES,-117.08228,32.73921
8123,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.05901,32.773117
8124,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.19257,32.78522
8125,WATER SUPPLY & IRRIGATION SYSTEMS,-117.1882,32.852932
8126,PRINTING & RELATED SUPPORT ACTIVITIES,-117.01677,32.81429
8127,"BEER, WINE & LIQUOR STORES",-117.17068,32.78305
8128,OTHER ELECTRONIC PARTS & EQUIPMENT WHSLE,-117.158485,32.773476
8129,RETAIL SALES VIA INTERNET/WEBSITES,-117.23965,32.792515
8130,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.09643,32.68804
8131,"INDEPENDENT ARTISTS, WRITERS & PERFORMERS",-117.06528,32.572273
8132,INDUSTRIAL SUPPLIES WHSLE,-117.126945,32.797813
8133,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.609,33.44986
8134,OTHER ACTIVITIES RELATED TO REAL ESTATE,-117.12144,32.814087
8135,LESSORS OF REAL ESTATE,-117.12144,32.814087
8136,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.10784,32.669415
8137,OFFICES OF PHYSICIANS,-117.12666,32.83612
8138,OFFICES OF PHYSICIANS,-117.19554,32.900146
8139,OTHER OUTPATIENT CARE CENTERS,-117.1548,32.77184
8140,"ARTS, ENTERTAINMENT & RECREATION",-117.009766,32.78
8141,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.21312,32.820423
8142,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.09589,32.814945
8143,OFFICES OF ALL OTH MISC HEALTH PRACTITIONERS,-117.21136,32.809242
8144,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.16652,32.937847
8145,DIET & WEIGHT REDUCING CENTERS,-117.1113,33.095753
8146,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.21977,32.955296
8147,SEMICONDUCTOR & OTH ELECTRONIC COMPONENT MFG,-117.199905,32.89159
8148,RENTAL & LEASING SERVICES,-117.20165,33.20322
8149,EDUCATIONAL SERVICES,-117.10219,32.704132
8150,CONCRETE CONTRACTORS,-117.06668,32.563793
8151,ALL OTHER SPECIAL TRADE CONTRACTORS,-117.04969,32.93552
8152,TATTOO PARLORS,-117.12338,32.76336
8153,MANAGEMENT CONSULTING SERVICES,-117.173744,32.750843
8154,JANITORIAL SERVICES,-117.104,32.75573
8155,"WHOLESALE TRADE, DURABLE GOODS",-116.92995,32.555126
8156,LIMITED-SERVICE RESTAURANTS,-117.196915,32.765358
8157,"R&D IN PHYSICAL, ENGINEERING & LIFE SCIENCES",-118.00027,33.72783
8158,AUTOMOTIVE R&M,-117.0922,32.75536
8159,COMPUTER & PERIPHERAL EQUIPMENT MFG,-117.181526,32.890163
8160,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.00328,32.571045
8161,JANITORIAL SERVICES,-117.02684,32.759907
8162,OFFICES OF CHIROPRACTORS,-117.19303,32.894394
8163,CONSULTING SERVICES,-116.997284,32.661396
8164,LANGUAGE SCHOOLS,-117.21404,32.80318
8165,LANGUAGE SCHOOLS,-117.09992,32.779926
8166,LANGUAGE SCHOOLS,-117.18547,32.852737
8167,ALL OTHER HEALTH & PERSONAL CARE STORES,-117.07562,33.01805
8168,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.177734,32.742546
8169,INDIVIDUAL & FAMILY SERVICES,-117.20216,32.796104
8170,EMPLOYMENT PLACEMENT AGENCIES,-117.06902,32.694046
8171,INDIVIDUAL & FAMILY SERVICES,-117.14578,32.705593
8172,LEGAL SERVICES,-117.13384,32.749416
8173,BUSINESS SUPPORT SERVICES,-117.08528,33.031384
8174,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-116.99504,32.7064
8175,INDIVIDUAL & FAMILY SERVICES,-117.15711,32.82291
8176,BEAUTY SHOPS - BOOTH RENTAL,-117.13016,32.74967
8177,OTHER PERSONAL SERVICES,-117.23418,32.743286
8178,EDUCATIONAL SERVICES,-117.14484,32.78841
8179,CONSULTING SERVICES,-117.24754,32.717934
8180,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.00328,32.571045
8181,ALL OTHER GENERAL MERCHANDISE STORES,-117.11836,32.749752
8182,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.15193,32.825848
8183,OTHER PERSONAL SERVICES,-117.06947,32.58538
8184,FLORISTS,-117.1831,32.821636
8185,AUTOMOTIVE R&M,-117.08942,32.801945
8186,OTHER BUILDING MATERIAL DEALERS,-117.11105,32.911335
8187,HOME FURNISHINGS STORES,-117.18635,32.74339
8188,OTHER TECHNICAL & TRADE SCHOOLS,-117.11695,32.820774
8189,MANAGEMENT CONSULTING SERVICES,-117.24872,32.732594
8190,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.28025,33.13404
8191,ELECTRICAL GOODS WHSLE,-117.12665,32.833954
8192,EMPLOYMENT PLACEMENT AGENCIES,-117.18395,32.7423
8193,INDIVIDUAL & FAMILY SERVICES,-117.22735,32.74289
8194,LEGAL SERVICES,-117.24203,32.957233
8195,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.1689,32.795235
8196,OTHER SPECIAL TRADE CONTRACTORS,-117.802284,34.055504
8197,MANAGEMENT CONSULTING SERVICES,-117.18491,33.595524
8198,MANAGEMENT CONSULTING SERVICES,-117.1762,32.8117
8199,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.243004,32.74887
8200,MANAGEMENT CONSULTING SERVICES,-117.06936,32.70423
8201,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.12695,32.895702
8202,MANAGEMENT OF COMPANIES & ENTERPRISES,-117.27385,33.10072
8203,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-116.99004,32.789547
8204,"ARCHITECTURAL, ENGINEERING & RELATED SERVICES",-117.11248,33.130062
8205,LIMITED-SERVICE EATING PLACES,-117.09903,32.903667
8206,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.04746,33.005505
8207,MANAGEMENT CONSULTING SERVICES,-117.051186,32.73037
8208,TAX PREPARATION SERVICES,-117.15228,32.834457
8209,TAX PREPARATION SERVICES,-117.15228,32.834457
8210,ARCHITECTURAL SERVICES,-117.21165,32.724392
8211,ENGINEERING SERVICES,-117.22748,32.842457
8212,OFFICES OF LAWYERS,-117.15442,32.77687
8213,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.070755,32.762756
8214,BUSINESS TAX EXEMPT - NON PROFIT,-117.10739,32.760105
8215,"LUMBER, PLYWOOD, MILLWORK & WOOD PANEL WHSLE",-117.15739,32.82175
8216,OFFICES OF CHIROPRACTORS,-117.09732,32.793587
8217,ADVERTISING & RELATED SERVICES,-117.15913,32.74835
8218,LANDSCAPING SERVICES,-117.1075,33.13055
8219,OTHER PERSONAL SERVICES,-117.086044,32.9766
8220,MARKETING CONSULTING SERVICES,-117.17106,32.71785
8221,OTH SCIENTIFIC & TECHNICAL CONSULTING SERVICE,-117.19876,32.851746
8222,OFFICES OF OTHER HOLDING COMPANIES,-117.12144,32.814087
8223,DRINKING PLACES (ALCOHOLIC BEVERAGES),-117.19598,32.752193
8224,ALL OTHER PERSONAL SERVICES,-117.05534,32.566628
8225,OTHER ELECTRONIC COMPONENT MFG,-117.15443,32.886524
8226,PRINTING & RELATED SUPPORT ACTIVITIES,-121.92025,41.97012
8227,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.17253,32.885033
8228,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.247284,32.793278
8229,LAND SUBDIVISION & LAND DEVELOPMENT,-117.16989,32.73188
8230,CARPENTRY & FLOOR CONTRACTORS,-117.14156,32.894524
8231,OTHER SERVICES TO BUILDINGS & DWELLINGS,-117.111626,32.922295
8232,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.04486,32.76925
8233,CONCRETE CONTRACTORS,-117.095505,32.95904
8234,"PROCESS, PHYS DIST & LOG CONSULTING SERVICES",-117.03489,32.68342
8235,CARPENTRY & FLOOR CONTRACTORS,-117.86451,33.70864
8236,JANITORIAL SERVICES,-117.11007,32.71595
8237,PRIMARY METAL MFG,-117.13708,32.69592
8238,GENERAL AUTOMOTIVE REPAIR,-117.07278,32.69508
8239,TRUCK TRANSPORTATION,-116.92784,32.55581
8240,"PLUMBING, HEATING & AC CONTRACTOR",-117.795494,33.859913
8241,ALL OTHER SPECIAL TRADE CONTRACTORS,-118.9741,35.371468
8242,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.22128,33.154106
8243,SPECIAL TRADE CONTRACTORS,-116.96589,32.731438
8244,MISCELLANEOUS STORE RETAILERS,-117.12819,32.748455
8245,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE,-117.200516,32.891586
8246,OTH SCIENTIFIC & TECHNICAL CONSULTING SERVICE,-117.24197,32.73479
8247,SHOE STORES,-117.038765,32.54541
8248,AUTOMOTIVE R&M,-117.15281,32.813972
8249,OFFICES OF DENTISTS,-117.15282,32.812508
8250,BEAUTY SHOPS - BOOTH RENTAL,-117.15457,32.82626
8251,"BEER, WINE & LIQUOR STORES",-117.15502,32.819603
8252,MASSAGE PARLORS,-117.15453,32.826344
8253,ALL OTHER AUTOMOTIVE R&M,-117.15331,32.81161
8254,LOCKSMITHS,-117.15491,32.81819
8255,FULL-SERVICE RESTAURANTS,-117.154915,32.818382
8256,OFFICES OF CHIROPRACTORS,-117.15501,32.8193
8257,MASSAGE PARLORS,-117.15494,32.81867
8258,DRINKING PLACES (ALCOHOLIC BEVERAGES),-117.08242,32.97733
8259,RESIDENTIAL BUILDING CONSTRUCTION,-117.03227,32.694267
8260,EDUCATIONAL SUPPORT SERVICES,-122.19173,37.833195
8261,OTHER PERSONAL & HOUSEHOLD GOODS R&M,-117.06878,32.67803
8262,"PLUMBING, HEATING & AC CONTRACTOR",-117.947296,33.83595
8263,"PLUMBING, HEATING & AC CONTRACTOR",-117.17883,33.530243
8264,PASSENGER CAR RENTAL & LEASING,-116.99686,32.570282
8265,AUTOMOBILE & OTHER MOTOR VEHICLE WHSLE,-117.21646,32.850616
8266,BEAUTY SALONS,-117.15797,32.801086
8267,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.10531,32.76154
8268,"POTTERY, CERAMICS & PLUMBING FIXTURE MFG",-117.14934,32.81788
8269,"HOBBY, TOY & GAME STORES",-117.14934,32.81788
8270,ALL OTHER MISCELLANEOUS STORE RETAILERS,-117.15671,32.70442
8271,OTHER PERSONAL SERVICES,-117.12185,32.695988
8272,GENERAL AUTOMOTIVE REPAIR,-117.12185,32.695988
8273,"APPAREL, PIECE GOODS & NOTIONS WHSLE",-117.098656,32.92228
8274,ALL OTHER PERSONAL SERVICES,-117.171364,32.747746
8275,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.18753,32.80804
8276,MANAGEMENT CONSULTING SERVICES,-117.18205,32.754246
8277,NUDE ENTERTAINMENT BUSINESS,-117.15825,32.790447
8278,MANAGEMENT CONSULTING SERVICES,-117.229355,32.82442
8279,CONSULTING SERVICES,-117.12485,32.769268
8280,SERVICES TO BUILDINGS & DWELLINGS,-117.20089,32.784397
8281,OTHER SPECIALTY FOOD STORES,-117.15635,32.70939
8282,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.22952,32.904865
8283,CLOTHING & CLOTHING ACCESSORIES STORES,-117.21137,32.750385
8284,ALL OTHER PERSONAL SERVICES,-117.13765,32.714783
8285,OTHER MISCELLANEOUS NONDURABLE GOODS WHSLE,-116.932,32.557278
8286,AUTOMOBILE & OTHER MOTOR VEHICLE WHSLE,-116.97222,32.560593
8287,NONSTORE RETAILERS,-117.14129,32.75107
8288,VENDING MACHINE OPERATORS,-117.016594,32.68497
8289,ALL OTHER SPECIAL TRADE CONTRACTORS,-116.97855,32.83135
8290,OTH SCIENTIFIC & TECHNICAL CONSULTING SERVICE,-117.24697,32.72401
8291,PRINTING,-117.13565,32.830112
8292,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.15167,32.89089
8293,OTHER COMMERCIAL PRINTING,-117.1468,32.89015
8294,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.15014,32.893414
8295,"PROFESSIONAL, SCIENTIFIC & TECHNICAL SERVICES",-117.16737,32.71709
8296,JEWELRY (EXC COSTUME) MFG,-117.24426,32.715
8297,OFFICES OF ALL OTH MISC HEALTH PRACTITIONERS,-117.20984,32.875946
8298,COMPUTER & PERIPHERAL EQUIP & SOFTWARE WHSLE,-116.935936,32.559307
8299,OTHER MISCELLANEOUS STORE RETAILERS,-117.155014,32.819557
8300,JANITORIAL SERVICES,-117.05717,33.137146
8301,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.23073,32.722824
8302,SNACK & NONALCOHOLIC BEVERAGE BARS,-117.193504,32.7541
8303,HOME HEALTH CARE SERVICES,-117.070885,32.98775
8304,NONSTORE RETAILERS,-117.04568,32.569733
8305,REAL ESTATE,-117.169624,32.731194
8306,LANDSCAPING SERVICES,-117.174324,32.827374
8307,LIMITED-SERVICE EATING PLACES,-117.057045,32.767105
8308,LEGAL SERVICES,-117.07648,33.01668
8309,ART DEALERS,-117.17854,32.82553
8310,APICULTURE,-117.04546,32.949955
8311,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.17641,32.79332
8312,FURNITURE STORES,-117.03955,32.963627
8313,RESIDENTIAL BUILDING CONSTRUCTION,-117.23777,32.74469
8314,OTH SCIENTIFIC & TECHNICAL CONSULTING SERVICE,-117.10997,32.912327
8315,ARCHITECTURAL SERVICES,-117.20616,32.754917
8316,ALL OTHER PERSONAL SERVICES,-117.06208,33.049026
8317,OTHER PERSONAL CARE SERVICES,-117.27267,33.207436
8318,OFFICES OF CHIROPRACTORS,-117.20102,32.808952
8319,HOME HEALTH EQUIPMENT RENTAL,-117.15211,32.89088
8320,"MANAGEMENT, SCI & TECH CONSULTING SERVICES",-117.05608,33.017956
8321,"PLUMBING, HEATING & AC CONTRACTOR",-117.112785,32.960846
8322,OFFICE ADMINISTRATIVE SERVICES,-117.11553,32.721394
8323,OTHER SPECIAL TRADE CONTRACTORS,-117.559616,34.048176
8324,ARCHITECTURAL SERVICES,-117.874916,33.65958
8325,"WHOLESALE TRADE, NONDURABLE GOODS",-117.328186,33.189693
8326,ALL OTHER INFORMATION SERVICES,-117.10966,32.907665
8327,SPORTS & RECREATION INSTRUCTION,-117.24171,32.799606
8328,YOGA INSTRUCTOR,-117.20612,32.82727
8329,YOGA STUDIO,-117.13015,32.74889
8330,YOGA STUDIO,-117.06237,32.978897
8331,YOGA INSTRUCTOR,-117.20563,32.75023
8332,YOGA INSTRUCTOR,-117.02734,32.774372
8333,YOGA INSTRUCTOR,-117.169174,32.720573
8334,MOTOR VEHICLE SUPPLIES & NEW PARTS WHSLE,-116.93395,32.55497
8335,ACTIVITIES RELATED TO REAL ESTATE,-117.12731,32.825733
8336,BEAUTY SHOPS - BOOTH RENTAL,-117.120834,32.763344
8337,OFFICES OF DENTISTS,-117.10196,32.823273
8338,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,-117.14102,32.95046
8339,TITLE ABSTRACT & SETTLEMENT OFFICES,-117.07532,33.01886
8340,EXTERMINATING & PEST CONTROL SERVICES,-117.13959,33.138977
8341,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES,-117.06813,32.75766
8342,TEXTILE MILLS,-117.10244,32.690334
8343,SWAP MEET VENDOR,-117.08641,32.576492
8344,ELECTRONIC SHOPPING & MAIL-ORDER HOUSES,-117.0899,32.766758
8345,FULL-SERVICE RESTAURANTS,-117.121925,32.823868
8346,FOOD SERVICES & DRINKING PLACES,-117.23708,32.916225
8347,CHILD DAY CARE SERVICES,-117.05848,32.769356
8348,ACTIVITIES RELATED TO REAL ESTATE,-117.19445,32.74889
8349,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.16103,32.832672
8350,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.18336,32.813545
8351,REAL ESTATE CREDIT,-117.07446,33.02213
8352,LANDSCAPING SERVICES,-116.91567,32.87786
8353,EDUCATIONAL SERVICES,-117.10201,32.838947
8354,COMMERCIAL & INSTITUTIONAL BLDG CONSTRUCTION,-117.79552,34.117542
8355,COMPUTER SYSTEMS DESIGN & RELATED SERVICES,-117.1458,32.827282
8356,GROCERY & RELATED PRODUCT WHSLE,-116.87126,32.80862
8357,FURNITURE & HOME FURNISHINGS STORES,-117.12612,32.695957
8358,JANITORIAL SERVICES,-117.20288,32.817097
8359,ALL OTHER INSURANCE RELATED ACTIVITIES,-116.932,32.557278
8360,BREWERIES,-117.204865,32.77203
8361,CLOTHING ACCESSORIES STORES,-117.180855,32.689064
8362,LANDSCAPING SERVICES,-117.07052,32.669838
8363,RESIDENTIAL BUILDING CONSTRUCTION,-117.10099,32.583794
8364,"SCENIC & SIGHTSEEING TRANSPORTATION, LAND",-117.19748,32.753075
8365,OTHER WAREHOUSING & STORAGE,-117.07807,32.594784
8366,GASOLINE STATIONS,-117.079926,32.576473
8367,ALL OTHER MISCELLANEOUS STORE RETAILERS,-117.12832,32.72756
8368,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,-117.18165,32.697124
8369,CONFECTIONERY WHSLE,-117.17417,32.693077
8370,ALL OTHER PERSONAL SERVICES,-117.07165,32.666786
8371,AUTOMOBILE & OTHER MOTOR VEHICLE WHSLE,-117.18527,32.744648
8372,EDUCATIONAL SERVICES,-117.075066,32.980625
8373,OFFICES OF OTHER HEALTH PRACTITIONERS,-117.25672,32.8006
8374,MANAGEMENT CONSULTING SERVICES,-117.04181,33.013504
8375,"ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",-117.16917,32.712723
8376,"WHOLESALE TRADE, DURABLE GOODS",-116.99242,32.638756
8377,AIR TRANSPORTATION,-117.140656,32.81232
8378,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE,-117.21406,32.818592
8379,TRAVEL AGENCIES,-117.20084,32.893723
8380,FLOOR LAYING & OTHER FLOOR CONTRACTORS,-117.9326,33.700928
8381,CONSULTING SERVICES,-117.24176,32.9305
8382,CHILD DAY CARE SERVICES,-117.061516,32.765747
8383,SPECIAL TRADE CONTRACTORS,-117.46284,34.064846
8384,CORRECTIONAL INSTITUTIONS,-117.11874,32.7001
8385,OTH PROFESSIONAL/SCIENTIFIC/TECHNICAL SERVICE,-117.11874,32.7001
8386,BUSINESS TAX EXEMPT - NON PROFIT,-117.099625,32.789753
8387,OFFICE ADMINISTRATIVE SERVICES,-117.1719,32.786064
8388,"BUILDING, DEVELOPING & GENERAL CONTRACTING",-117.23122,32.82491
8389,ELECTRICAL CONTRACTORS,-117.2069,32.755352
8390,JANITORIAL SERVICES,-117.08104,32.712425
8391,PRIVATE MAIL CENTERS,-117.035675,32.547756
8392,ENVIRONMENTAL CONSULTING SERVICES,-117.18237,32.804688
8393,LANDSCAPING SERVICES,-117.00567,32.70999
8394,OTHER MISCELLANEOUS NONDURABLE GOODS WHSLE,-116.93656,32.560192
8395,INVESTMENT BANKING & SECURITIES DEALING,-117.07457,33.021603
8396,FURNITURE & HOME FURNISHINGS STORES,-117.144066,32.892006
8397,"HARDWARE, & PLUMB & HEATING EQUIP & SUP WHSLE",-117.837036,33.863117
8398,MARKETING CONSULTING SERVICES,-117.17973,32.81705
8399,HOME & GARDEN EQUIPMENT R&M,-117.043785,32.702972
8400,LANDSCAPING SERVICES,-117.17117,32.78559
8401,OTHER ELECTRONIC & PRECISION EQUIPMENT R&M,-117.24936,32.722664
8402,FOOD SERVICES & DRINKING PLACES,-117.2102,32.741306
8403,"AUTOMOTIVE PARTS, ACCESSORIES & TIRE STORES",-117.15761,32.825115
8404,BEAUTY SHOPS - BOOTH RENTAL,-117.13017,32.759853
8405,"COSMETICS, BEAUTY SUPPLIES & PERFUME STORES",-117.20741,32.77665
8406,NONSTORE RETAILERS,-117.087,32.602264
8407,SPECIAL TRADE CONTRACTORS,-117.123535,32.82728
8408,OTH SCIENTIFIC & TECHNICAL CONSULTING SERVICE,-117.19264,32.859814
8409,ACTIVITIES RELATED TO REAL ESTATE,-117.154434,32.748466
8410,OFFICES OF DENTISTS,-117.12118,32.895058
8411,OFFICES OF ALL OTH MISC HEALTH PRACTITIONERS,-117.214035,32.87568
8412,OFFICES OF DENTISTS,-117.23019,32.80111
8413,OFFICES OF DENTISTS,-117.16257,32.712555
8414,"COSMETICS, BEAUTY SUPPLIES & PERFUME STORES",-117.12277,32.917187
8415,"HAIR, NAIL & SKIN CARE SERVICES",-117.21596,32.752632
8416,"COSMETICS, BEAUTY SUPPLIES & PERFUME STORES",-117.13144,32.91494
8417,ALL OTHER MISCELLANEOUS STORE RETAILERS,-117.17392,32.834225
8418,"COSMETICS, BEAUTY SUPPLIES & PERFUME STORES",-117.20563,32.75023
8419,TAXI SERVICE,-116.93005,32.846462
8420,ACCOUNTING/TAX PREP/BOOKKEEP/PAYROLL SERVICES,-117.12044,32.83131
8421,OTHER CREDIT INTERMEDIATION ACTIVITIES,-117.02354,32.92757
8422,OTHER MISCELLANEOUS STORE RETAILERS,-117.216545,32.8675
